ticker,weight,ISIN,total_score,govern_score,social_score,environ_score,industry,company
SNA,0.000421,US8330341012,52.58,58.5,50.15,51.0,Machinery,Snap-on Incorporated (NYSE:SNA)
SNPS,0.000584,US8716071076,52.9,61.09,44.85,58.17,Software (System & Application),"Synopsys, Inc. (NasdaqGS:SNPS)"
SO,0.0017739999999999998,US8425871071,59.75,67.85,57.41,56.81,Power,The Southern Company (NYSE:SO)
SPG,0.0022129999999999997,US8288061091,57.57,62.45,52.41,57.78,R.E.I.T.,"Simon Property Group, Inc. (NYSE:SPG)"
SPGI,0.00203,US78409V1044,72.24,71.67,72.27,72.94,Financial Svcs. (Non-bank & Insurance),S&P Global Inc. (NYSE:SPGI)
SRCL,0.000198,US8589121081,48.06,56.85,42.42,47.5,Environmental & Waste Services,"Stericycle, Inc. (NasdaqGS:SRCL)"
SRE,0.001261,US8168511090,68.85,75.59,78.67,58.56,Utility (General),Sempra Energy (NYSE:SRE)
STI,0.001243,US8679141031,48.73,55.06,52.82,36.33,,
STT,0.001315,US8574771031,72.93,73.77,64.37,80.99,Investments & Asset Management,State Street Corporation (NYSE:STT)
STX,0.0004969999999999999,IE00B58JVZ52,76.63,72.0,77.44,78.81,Computers/Peripherals,Seagate Technology plc (NasdaqGS:STX)
STZ,0.001444,US21036P1084,52.56,59.42,53.46,46.66,Beverage (Alcoholic),"Constellation Brands, Inc. (NYSE:STZ)"
SWK,0.000916,US8545021011,64.14,59.85,57.13,72.93,Machinery,"Stanley Black & Decker, Inc. (NYSE:SWK)"
SWKS,0.000674,US83088M1027,60.74,55.6,69.64,56.16,Semiconductor,"Skyworks Solutions, Inc. (NasdaqGS:SWKS)"
SYF,0.000869,US87165B1035,49.94,53.94,57.32,37.0,Financial Svcs. (Non-bank & Insurance),Synchrony Financial (NYSE:SYF)
SYK,0.002246,US8636671013,51.0,47.75,46.39,63.2,Healthcare Products,Stryker Corporation (NYSE:SYK)
SYMC,0.000521,US8715031089,71.7,70.55,75.03,67.67,,
SYY,0.001415,US8718291078,61.66,66.78,53.69,67.11,Food Wholesalers,Sysco Corporation (NYSE:SYY)
T,0.009853,US00206R1023,65.5,69.19,53.43,80.49,Telecom. Services,AT&T Inc. (NYSE:T)
TAP,0.00045599999999999997,US60871R2094,68.34,69.08,72.5,63.07,Beverage (Alcoholic),Molson Coors Brewing Company (NYSE:TAP)
TDG,0.000734,US8936411003,51.12,61.89,45.87,47.13,Aerospace/Defense,TransDigm Group Incorporated (NYSE:TDG)
TEL,0.001224,CH0102993182,66.08,71.95,65.81,62.65,Electronics (General),TE Connectivity Ltd. (NYSE:TEL)
TGT,0.0019010000000000001,US87612E1064,59.95,68.79,48.34,66.91,Retail (General),Target Corporation (NYSE:TGT)
TIF,0.000567,US8865471085,57.32,63.95,59.51,50.07,Retail (Special Lines),Tiffany & Co. (NYSE:TIF)
TJX,0.0028469999999999997,US8725401090,62.57,65.78,56.88,66.79,Retail (Special Lines),"The TJX Companies, Inc. (NYSE:TJX)"
TMK,0.000363,US8910271043,48.96,52.14,57.89,35.42,,
TMO,0.004055,US8835561023,59.41,59.72,52.11,72.18,Heathcare Information and Technology,Thermo Fisher Scientific Inc. (NYSE:TMO)
TPR,0.000584,US8760301072,60.04,68.25,57.28,57.33,Apparel,"Tapestry, Inc. (NYSE:TPR)"
TRIP,0.000212,US8969452015,44.9,51.74,42.54,42.71,Software (Entertainment),"TripAdvisor, Inc. (NasdaqGS:TRIP)"
TROW,0.0010789999999999999,US74144T1088,63.77,72.42,61.52,55.21,Investments & Asset Management,"T. Rowe Price Group, Inc. (NasdaqGS:TROW)"
TRV,0.001413,US89417E1091,57.25,54.2,63.06,54.92,Insurance (Prop/Cas.),"The Travelers Companies, Inc. (NYSE:TRV)"
TSCO,0.00044400000000000006,US8923561067,56.29,73.45,45.76,56.07,Retail (Special Lines),Tractor Supply Company (NasdaqGS:TSCO)
TSN,0.0007059999999999999,US9024941034,54.19,57.45,50.14,56.48,Food Processing,"Tyson Foods, Inc. (NYSE:TSN)"
TSS,0.000672,US8919061098,50.31,60.55,47.5,46.0,,
TTWO,0.000633,US8740541094,47.05,59.28,43.61,42.0,Entertainment,"Take-Two Interactive Software, Inc. (NasdaqGS:TTWO)"
TWTR,0.000826,US90184L1026,51.89,55.32,56.57,42.0,Software (Entertainment),"Twitter, Inc. (NYSE:TWTR)"
TXN,0.004253,US8825081040,74.88,64.62,77.6,78.9,Semiconductor,Texas Instruments Incorporated (NasdaqGS:TXN)
TXT,0.000722,US8832031012,58.59,70.03,55.9,51.46,Aerospace/Defense,Textron Inc. (NYSE:TXT)
UA,0.000147,US9043112062,,,,,,
UAA,0.00015800000000000002,US9043111072,55.46,61.76,57.88,48.2,Apparel,"Under Armour, Inc. (NYSE:UAA)"
UAL,0.000813,US9100471096,52.1,63.95,45.26,51.46,Air Transport,"United Airlines Holdings, Inc. (NasdaqGS:UAL)"
UDR,0.00043099999999999996,US9026531049,50.83,54.69,44.19,52.92,R.E.I.T.,"UDR, Inc. (NYSE:UDR)"
UHS,0.000455,US9139031002,46.46,44.1,43.74,54.2,Hospitals/Healthcare Facilities,"Universal Health Services, Inc. (NYSE:UHS)"
ULTA,0.000656,US90384S3031,51.39,68.65,48.07,42.86,Retail (Special Lines),"Ulta Beauty, Inc. (NasdaqGS:ULTA)"
UNH,0.010493,US91324P1021,62.91,69.13,52.55,74.1,Healthcare Support Services,UnitedHealth Group Incorporated (NYSE:UNH)
UNM,0.000359,US91529Y1064,51.0,51.63,54.71,46.25,Insurance (Life),Unum Group (NYSE:UNM)
UNP,0.00492,US9078181081,58.4,72.65,53.78,53.5,Transportation (Railroads),Union Pacific Corporation (NYSE:UNP)
UPS,0.0033,US9113121068,61.97,66.35,57.76,63.66,Transportation,"United Parcel Service, Inc. (NYSE:UPS)"
URI,0.000545,US9113631090,60.19,68.0,54.28,61.37,Retail (Distributors),"United Rentals, Inc. (NYSE:URI)"
USB,0.0032770000000000004,US9029733048,56.67,52.09,56.46,62.67,Bank (Money Center),U.S. Bancorp (NYSE:USB)
UTX,0.004294,US9130171096,54.83,57.25,53.21,54.37,Aerospace/Defense,United Technologies Corporation (NYSE:UTX)
V,0.010851999999999999,US92826C8394,65.15,67.55,57.14,75.17,Information Services,Visa Inc. (NYSE:V)
VAR,0.00042300000000000004,US92220P1057,63.58,57.5,61.52,74.6,Healthcare Products,"Varian Medical Systems, Inc. (NYSE:VAR)"
VFC,0.001232,US9182041080,66.19,74.11,67.21,59.38,Apparel,V.F. Corporation (NYSE:VFC)
VIAB,0.000462,US92553P2011,59.14,61.5,55.77,63.52,,
VLO,0.001978,US91913Y1001,55.22,65.85,53.29,49.82,Oilfield Svcs/Equip.,Valero Energy Corporation (NYSE:VLO)
VMC,0.000598,US9291601097,52.52,60.75,48.21,51.16,Construction Supplies,Vulcan Materials Company (NYSE:VMC)
VNO,0.000504,US9290421091,60.63,68.06,39.47,70.92,R.E.I.T.,Vornado Realty Trust (NYSE:VNO)
VRSK,0.0008039999999999999,US92345Y1064,59.91,69.99,55.03,57.88,Business & Consumer Services,"Verisk Analytics, Inc. (NasdaqGS:VRSK)"
VRSN,0.000696,US92343E1029,48.73,54.5,47.46,45.83,Software (Internet),"VeriSign, Inc. (NasdaqGS:VRSN)"
VRTX,0.001983,US92532F1003,45.9,51.78,39.75,49.91,Drugs (Biotechnology),Vertex Pharmaceuticals Incorporated (NasdaqGS:VRTX)
VTR,0.000775,US92276F1003,67.39,64.82,59.14,75.53,R.E.I.T.,"Ventas, Inc. (NYSE:VTR)"
VZ,0.009012000000000001,US92343V1044,69.65,76.85,57.09,82.47,Telecom. Services,Verizon Communications Inc. (NYSE:VZ)
WAT,0.000618,US9418481035,50.47,56.93,38.9,63.56,Heathcare Information and Technology,Waters Corporation (NYSE:WAT)
WBA,0.00249,US9314271084,61.82,65.94,59.59,61.44,Retail (Special Lines),"Walgreens Boots Alliance, Inc. (NasdaqGS:WBA)"
WCG,0.000638,US94946T1060,51.06,67.2,41.33,49.2,Healthcare Support Services,"WellCare Health Plans, Inc. (NYSE:WCG)"
WDC,0.0007,US9581021055,63.42,66.84,61.72,62.76,Computers/Peripherals,Western Digital Corporation (NasdaqGS:WDC)
WEC,0.0008470000000000001,US92939U1060,63.92,70.95,66.72,58.16,Utility (General),"WEC Energy Group, Inc. (NYSE:WEC)"
WELL,0.000949,US95040Q1040,66.15,69.34,63.13,66.02,R.E.I.T.,Welltower Inc. (NYSE:WELL)
WFC,0.009174,US9497461015,57.48,41.2,53.18,82.67,Bank (Money Center),Wells Fargo & Company (NYSE:WFC)
WHR,0.000306,US9633201069,54.5,59.65,54.87,50.39,Furn/Home Furnishings,Whirlpool Corporation (NYSE:WHR)
WLTW,0.0007599999999999999,IE00BDB6Q211,51.18,56.18,53.38,42.51,Insurance (General),Willis Towers Watson Public Limited Company (NasdaqGS:WLTW)
WM,0.001454,US94106L1098,64.46,70.19,53.91,70.13,Environmental & Waste Services,"Waste Management, Inc. (NYSE:WM)"
WMB,0.001355,US9694571004,54.75,67.38,50.23,50.89,Oil/Gas Distribution,"The Williams Companies, Inc. (NYSE:WMB)"
WMT,0.005497,US9311421039,57.6,59.48,46.53,68.92,Retail (General),Walmart Inc. (NYSE:WMT)
WRK,0.000554,US96145D1054,58.83,63.75,58.81,55.77,Packaging & Container,WestRock Company (NYSE:WRK)
WU,0.000352,US9598021098,46.0,50.85,44.3,44.5,Information Services,The Western Union Company (NYSE:WU)
WY,0.0009720000000000001,US9621661043,73.12,81.49,71.84,69.01,R.E.I.T.,Weyerhaeuser Company (NYSE:WY)
WYNN,0.0004969999999999999,US9831341071,47.72,59.25,39.75,47.5,Hotel/Gaming,"Wynn Resorts, Limited (NasdaqGS:WYNN)"
XEC,0.000367,US1717981013,47.45,60.7,45.97,39.67,Oil/Gas (Production and Exploration),Cimarex Energy Co. (NYSE:XEC)
XEL,0.0009660000000000001,US98389B1008,72.61,78.75,79.19,64.82,Power,Xcel Energy Inc. (NasdaqGS:XEL)
XLNX,0.000817,US9839191015,68.18,62.25,68.49,71.61,Semiconductor,"Xilinx, Inc. (NasdaqGS:XLNX)"
XOM,0.014718,US30231G1022,63.97,58.42,75.36,54.9,Oil/Gas (Integrated),Exxon Mobil Corporation (NYSE:XOM)
XRAY,0.000348,US24906P1093,55.07,56.75,49.49,63.1,Healthcare Products,DENTSPLY SIRONA Inc. (NasdaqGS:XRAY)
XRX,0.000244,US9841216081,68.36,61.69,66.97,76.0,Computers/Peripherals,Xerox Holdings Corporation (NYSE:XRX)
XYL,0.000585,US98419M1009,77.5,71.25,72.34,85.9,Machinery,Xylem Inc. (NYSE:XYL)
YUM,0.001178,US9884981013,53.32,61.39,45.63,55.0,Restaurant/Dining,"YUM! Brands, Inc. (NYSE:YUM)"
ZBH,0.001064,US98956P1021,61.05,53.25,58.22,75.5,Healthcare Products,"Zimmer Biomet Holdings, Inc. (NYSE:ZBH)"
ZION,0.000399,US9897011071,48.73,51.4,59.06,34.33,Banks (Regional),"Zions Bancorporation, National Association (NasdaqGS:ZION)"
ZTS,0.001796,US98978V1035,51.09,61.71,41.33,55.91,Drugs (Pharmaceutical),Zoetis Inc. (NYSE:ZTS)
